bookID,title,short_title
35275, 30,000 Locked Out: The Great Strike of the Building Trades in Chicago,30,000 Locked Out: The Great Strike of the Building Trades in Chicago
35400, Presidential Candidates:|Containing Sketches, Biographical, Personal and Political, of Prominent Candidates for the Presidency in 1860,Presidential Candidates:
35428, A Charming Fellow, Volume I,A Charming Fellow, Volume I
35429, A Charming Fellow, Volume II,A Charming Fellow, Volume II
35527, The Haute Noblesse: A Novel,The Haute Noblesse: A Novel
35530, Fundamental Peace Ideas including The Westphalian Peace Treaty (1648) and The League Of Nations (1919)|in connection with International Psychology and Revolutions,Fundamental Peace Ideas including The Westphalian Peace Treaty (1648) and The League Of Nations (1919)
35532, The Letters of the Duke of Wellington to Miss J., 1834-1851|Edited, with Extracts from the Diary of the Latter,The Letters of the Duke of Wellington to Miss J., 1834-1851
35551, Professor Huskins,Professor Huskins
3563, Memoirs of Napoleon Bonaparte - Volume 13,Memoirs of Napoleon Bonaparte - Volume 13
35646, Hand-Book of Practical Cookery, for Ladies and Professional Cooks|Containing the Whole Science and Art of Preparing Human Food,Hand-Book of Practical Cookery, for Ladies and Professional Cooks
35675, Peeps at People,Peeps at People
35686, Mississippi Outlaws and the Detectives|Don Pedro and the Detectives; Poisoner and the Detectives,Mississippi Outlaws and the Detectives
35720, Papers Relating to an Act of the Assembly of the Province of New-York|For encouragement of the Indian trade, &c. and for prohibiting the selling of Indian goods to the French, viz. of Canada,Papers Relating to an Act of the Assembly of the Province of New-York
35776, The Way of the Strong,The Way of the Strong
35913, The Child Wife,The Child Wife
36002, Time in the Play of Hamlet,Time in the Play of Hamlet
36155, The Invasion,The Invasion
36195, Dr. Hardhack's Prescription: A Play for Children in Four Acts,Dr. Hardhack's Prescription: A Play for Children in Four Acts
36301, The Thousand and One Days: A Companion to the Arabian Nights,The Thousand and One Days: A Companion to the Arabian Nights
36339, Boscobel|Or, The History of his Sacred Majesties most Miraculous Preservation After the Battle of Worcester, 3. Sept. 1651,Boscobel
36368, If Any Man Sin,If Any Man Sin
36388, Airship Andy; Or, The Luck of a Brave Boy,Airship Andy; Or, The Luck of a Brave Boy
37057, Observations on Insanity|With Practical Remarks on the Disease and an Account of the Morbid Appearances on Dissection,Observations on Insanity
37199, Ecology of the Opossum on a Natural Area in Northeastern Kansas,Ecology of the Opossum on a Natural Area in Northeastern Kansas
37218, Olinda's Adventures: or the Amours of a Young Lady,Olinda's Adventures: or the Amours of a Young Lady
37303, The Girls of Central High on the Stage; Or, The Play That Took The Prize,The Girls of Central High on the Stage; Or, The Play That Took The Prize
3736, A Far Country - Volume 1,A Far Country - Volume 1
3743, The Writings of Thomas Paine - Volume 4 (1794-1796): The Age of Reason,The Writings of Thomas Paine - Volume 4 (1794-1796): The Age of Reason
37517, The Notorious Impostor (1692); Diego Redivivus (1692),The Notorious Impostor (1692); Diego Redivivus (1692)
37784, The Rise of Cotton Mills in the South,The Rise of Cotton Mills in the South
37915, Notes on the Book of Genesis,Notes on the Book of Genesis
38019, An Oregon Girl: A Tale of American Life in the New West,An Oregon Girl: A Tale of American Life in the New West
38063, The Sun's Babies,The Sun's Babies
38144, The Mistress of Bonaventure,The Mistress of Bonaventure
38212, The Making of William Edwards; or, The Story of the Bridge of Beauty,The Making of William Edwards; or, The Story of the Bridge of Beauty
38300, Boy Scouts: Tenderfoot Squad; or, Camping at Raccoon Lodge,Boy Scouts: Tenderfoot Squad; or, Camping at Raccoon Lodge
38345, Book Collecting: A Guide for Amateurs,Book Collecting: A Guide for Amateurs
38373, Liberty in the Nineteenth Century,Liberty in the Nineteenth Century
38391, The War Upon Religion|Being an Account of the Rise and Progress of Anti-Christianism in Europe,The War Upon Religion
38417, Curiosities of History: Boston, September Seventeenth, 1630-1880,Curiosities of History: Boston, September Seventeenth, 1630-1880
38500, The Great Painters' Gospel|Pictures Representing Scenes and Incidents in the Life of Our Lord Jesus Christ,The Great Painters' Gospel
38542, A Century of Sail and Steam on the Niagara River,A Century of Sail and Steam on the Niagara River
38594, Poems,Poems
38790, England,England
38835, Black-Eyed Susan,Black-Eyed Susan
38862, My Lords of Strogue, Vol. 2 (of 3)|A Chronicle of Ireland, from the Convention to the Union,My Lords of Strogue, Vol. 2 (of 3)
39082, A Desperate Voyage,A Desperate Voyage
39133, The Dramas of Victor Hugo: Mary Tudor, Marion de Lorme, Esmeralda,The Dramas of Victor Hugo: Mary Tudor, Marion de Lorme, Esmeralda
39214, When Love Calls,When Love Calls
39226, Irish Ecclesiastical Record, Volume 1, May 1865,Irish Ecclesiastical Record, Volume 1, May 1865
39323, A Pilgrim Maid: A Story of Plymouth Colony in 1620,A Pilgrim Maid: A Story of Plymouth Colony in 1620
39378, Mortal Coils,Mortal Coils
39472, Zoological Illustrations, Volume 2|or, Original Figures and Descriptions of New, Rare, or Interesting Animals,Zoological Illustrations, Volume 2
39483, Farm Boys and Girls,Farm Boys and Girls
39511, The Psychological Origin and the Nature of Religion,The Psychological Origin and the Nature of Religion
39608, The Magic of the Middle Ages,The Magic of the Middle Ages
39712, Goblin Tales of Lancashire,Goblin Tales of Lancashire
39875, Highways and Byways in London,Highways and Byways in London
39909, The Poems of Philip Freneau, Poet of the American Revolution. Volume 3 (of 3),The Poems of Philip Freneau, Poet of the American Revolution. Volume 3 (of 3)
39912, Tom Willoughby's Scouts: A Story of the War in German East Africa,Tom Willoughby's Scouts: A Story of the War in German East Africa
39967, Sources of the Synoptic Gospels,Sources of the Synoptic Gospels
39999, The Great Acceptance: The Life Story of F. N. Charrington,The Great Acceptance: The Life Story of F. N. Charrington
40143, France and England in N America, Part III: La Salle, Discovery of The Great West,France and England in N America, Part III: La Salle, Discovery of The Great West
4024, The Man of Destiny,The Man of Destiny
40309, The Art of Amusing|Being a Collection of Graceful Arts, Merry Games, Odd Tricks, Curious Puzzles, and New Charades. Together with Suggestions for Private Theatricals, Tableaux, and All Sorts of Parlor and Family Amusements.,The Art of Amusing
4039, Volpone; Or, The Fox,Volpone; Or, The Fox
40414, Sophy of Kravonia: A Novel,Sophy of Kravonia: A Novel
40729, Old Scrooge: A Christmas Carol in Five Staves.|Dramatized from Charles Dickens' Celebrated Christmas Story.,Old Scrooge: A Christmas Carol in Five Staves.
40832, The Veiled Man|Being an Account of the Risks and Adventures of Sidi Ahamadou, Sheikh of the Azjar Maraude,The Veiled Man
40894, Neither Dorking nor the Abbey,Neither Dorking nor the Abbey
40901, The Gentleman and Lady's Book of Politeness and Propriety of Deportment, Dedicated to the Youth of Both Sexes,The Gentleman and Lady's Book of Politeness and Propriety of Deportment, Dedicated to the Youth of Both Sexes
41024, The Paston Letters, A.D. 1422-1509. Volume 3 (of 6)|New Complete Library Edition,The Paston Letters, A.D. 1422-1509. Volume 3 (of 6)
41174, The Wave of Scepticism and the Rock of Truth,The Wave of Scepticism and the Rock of Truth
41213, The Secrets of a Kuttite|An Authentic Story of Kut, Adventures in Captivity and Stamboul Intrigue,The Secrets of a Kuttite
41388, The Modern American Pistol and Revolver,The Modern American Pistol and Revolver
417, Dr. Martin Luther's Deutsche Geistliche Lieder|The Hymns of Martin Luther Set to Their Original Melodies, With an English Version,Dr. Martin Luther's Deutsche Geistliche Lieder
41758, Under the Chinese Dragon: A Tale of Mongolia,Under the Chinese Dragon: A Tale of Mongolia
41784, Wyoming,Wyoming
41816, Ann Arbor Tales,Ann Arbor Tales
41859, The Terms of Surrender,The Terms of Surrender
41952, Scott Greenwood and Co. Catalogue of Special Technical Works, 1903|For Manufacturers, Students, and Technical Schools, by Expert Writers,Scott Greenwood and Co. Catalogue of Special Technical Works, 1903
41962, Law of the North (Originally published as Empery)|A Story of Love and Battle in Rupert's Land,Law of the North (Originally published as Empery)
42066, The Young Marooners on the Florida Coast,The Young Marooners on the Florida Coast
42093, Morag: A Tale of the Highlands of Scotland,Morag: A Tale of the Highlands of Scotland
42111, And Then the Town Took Off,And Then the Town Took Off
42329, Facts and Fictions of Life,Facts and Fictions of Life
42366, The Cozy Lion: As Told by Queen Crosspatch,The Cozy Lion: As Told by Queen Crosspatch
42672, The wanderings and fortunes of some German emigrants,The wanderings and fortunes of some German emigrants
42719, A Treatise on Wood Engraving, Historical and Practical,A Treatise on Wood Engraving, Historical and Practical
42908, Dickensian Inns & Taverns,Dickensian Inns & Taverns
42981, The Folk-Tales of the Magyars|Collected by Kriza, Erd̩lyi, Pap, and Others,The Folk-Tales of the Magyars
43102, The Rope of Gold|A Mystery Story for Boys,The Rope of Gold
43108, White Turrets,White Turrets
43141, Jill: A Flower Girl,Jill: A Flower Girl
43154, An Interloper,An Interloper
43155, Thorpe Regis,Thorpe Regis
43287, Father Thrift and His Animal Friends,Father Thrift and His Animal Friends
43320, The Wonder Book of Volcanoes and Earthquakes,The Wonder Book of Volcanoes and Earthquakes
43387, Little Foxes: Stories for Boys and Girls,Little Foxes: Stories for Boys and Girls
43674, The Cardinal Moth,The Cardinal Moth
43701, Recollections of a Busy Life: Being the Reminiscences of a Liverpool Merchant 1840-1910,Recollections of a Busy Life: Being the Reminiscences of a Liverpool Merchant 1840-1910
43818, The Story of Opal: The Journal of an Understanding Heart,The Story of Opal: The Journal of an Understanding Heart
4393, Wakulla: a story of adventure in Florida,Wakulla: a story of adventure in Florida
43966, Witchcraft and Superstitious Record in the South-Western District of Scotland,Witchcraft and Superstitious Record in the South-Western District of Scotland
44077, Adventures in Alaska,Adventures in Alaska
44090, Catalogue of Special Technical Works for Manufacturers, Students, and Technical Schools. May 1904,Catalogue of Special Technical Works for Manufacturers, Students, and Technical Schools. May 1904
44176, White Dandy; or, Master and I: A Horse's Story,White Dandy; or, Master and I: A Horse's Story
44303, A Chambermaid's Diary,A Chambermaid's Diary
4438, Vittoria - Volume 4,Vittoria - Volume 4
44550, The Hammer: A Story of the Maccabean Times,The Hammer: A Story of the Maccabean Times
45018, The Works of Francis Maitland Balfour, Volume 2 (of 4)|A Treatise on Comparative Embryology: Invertebrata,The Works of Francis Maitland Balfour, Volume 2 (of 4)
451, The Shadow Line: A Confession,The Shadow Line: A Confession
45234, After Prison--What?,After Prison--What?
45253, The Curlytops at Sunset Beach; Or, What Was Found in the Sand,The Curlytops at Sunset Beach; Or, What Was Found in the Sand
45308, The Adventure Girls in the Air,The Adventure Girls in the Air
45564, Patience,Patience
45593, Chronicles of England, Scotland and Ireland (3 of 6): England (4 of 9)|Edward the Fourth, Earle of March, Sonne and Heire to Richard Duke of Yorke,Chronicles of England, Scotland and Ireland (3 of 6): England (4 of 9)
45721, By order of the company,By order of the company
4586, Danger; Or, Wounded in the House of a Friend,Danger; Or, Wounded in the House of a Friend
45991, The Boy Aviators on Secret Service; Or, Working with Wireless,The Boy Aviators on Secret Service; Or, Working with Wireless
46084, The Secret Life: Being the Book of a Heretic,The Secret Life: Being the Book of a Heretic
46167, British Royal Proclamations Relating to America, 1603-1783,British Royal Proclamations Relating to America, 1603-1783
4618, Words for the Wise,Words for the Wise
4626, Married Life; Its Shadows and Sunshine,Married Life; Its Shadows and Sunshine
46530, Cornish Worthies: Sketches of Some Eminent Cornish Men and Families, Volume 2 (of 2),Cornish Worthies: Sketches of Some Eminent Cornish Men and Families, Volume 2 (of 2)
4665, Signora Fantastici (A Dramatic Proverb),Signora Fantastici (A Dramatic Proverb)
46696, A New System of Horsemanship,A New System of Horsemanship
46722, Giovanni Boccaccio, a Biographical Study,Giovanni Boccaccio, a Biographical Study
46762, Bessie and Her Friends,Bessie and Her Friends
46945, Rich Man, Poor Man,Rich Man, Poor Man
4799, The Complete Poetical Works of Percy Bysshe Shelley - Volume 3,The Complete Poetical Works of Percy Bysshe Shelley - Volume 3
4807, The Rise of the Dutch Republic - Volume 07: 1561-62,The Rise of the Dutch Republic - Volume 07: 1561-62
486, Ozma of Oz|A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein,Ozma of Oz
48813, The Black Diamond,The Black Diamond
4945, Jane Allen, Junior,Jane Allen, Junior
49757, The Man Who Lived in a Shoe,The Man Who Lived in a Shoe
49976, Escape from the Confederacy,Escape from the Confederacy
5021, State of the Union Addresses,State of the Union Addresses
50753, Later Than You Think,Later Than You Think
50875, The Business Library: What it is and what it does,The Business Library: What it is and what it does
51258, A Bad Day for Vermin,A Bad Day for Vermin
51848, Dick Kent at Half-Way House,Dick Kent at Half-Way House
51919, Rancho Del Muerto, and Other Stories of Adventure|by Various Authors, from Outing,Rancho Del Muerto, and Other Stories of Adventure
5197, My Life - Volume 1,My Life - Volume 1
5208, The Parish Register,The Parish Register
52180, The Apple of Discord,The Apple of Discord
53032, William-An Englishman,William-An Englishman
53075, Songs of the Glens of Antrim,Songs of the Glens of Antrim
53134, The Admiral's Daughter,The Admiral's Daughter
5354, Guy Mannering, Or, the Astrologer - Volume 02,Guy Mannering, Or, the Astrologer - Volume 02
5397, Dr. Jonathan,Dr. Jonathan
54327, Winchester; A Sketch-Book,Winchester; A Sketch-Book
54434, Heartbreak House,Heartbreak House
5454, An Egyptian Princess - Volume 05,An Egyptian Princess - Volume 05
55098, Strong and Steady|Or, Paddle Your Own Canoe,Strong and Steady
5519, The Bride of the Nile - Volume 03,The Bride of the Nile - Volume 03
5548, In the Fire of the Forge: A Romance of Old Nuremberg - Volume 06,In the Fire of the Forge: A Romance of Old Nuremberg - Volume 06
5645, Sketches by Seymour - Volume 01,Sketches by Seymour - Volume 01
5657, The Practice of the Presence of God,The Practice of the Presence of God
56654, His Excellency|[Soin Exc. Eug̬ne Rougon],His Excellency
567, The Complete Works of Brann, the Iconoclast - Volume 01,The Complete Works of Brann, the Iconoclast - Volume 01
5742, The Bird-Woman of the Lewis and Clark Expedition,The Bird-Woman of the Lewis and Clark Expedition
5830, A Garland for Girls,A Garland for Girls
5848, The Flyers,The Flyers
5926, The History of Don Quixote, Volume 2, Part 23,The History of Don Quixote, Volume 2, Part 23
6003, Story of Aeneas,Story of Aeneas
6178, Pierre and His People: Tales of the Far North. Volume 5.,Pierre and His People: Tales of the Far North. Volume 5.
6194, Mrs. Falchion, Complete,Mrs. Falchion, Complete
6200, The Greek View of Life,The Greek View of Life
6297, Carnac's Folly, Volume 2.,Carnac's Folly, Volume 2.
6367, The Life and Legends of Saint Francis of Assisi,The Life and Legends of Saint Francis of Assisi
6381, Two Years in the French West Indies,Two Years in the French West Indies
6521, The King of the Dark Chamber,The King of the Dark Chamber
688, The Goodness of St. Rocque, and Other Stories,The Goodness of St. Rocque, and Other Stories
7120, Knock, Knock, Knock and Other Stories,Knock, Knock, Knock and Other Stories
7150, Science & Education: Essays,Science & Education: Essays
740, Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839,Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839
7562, Quotes and Images From Memoirs of Madame De Montespan,Quotes and Images From Memoirs of Madame De Montespan
7648, Ernest Maltravers - Volume 09,Ernest Maltravers - Volume 09
7692, A Strange Story - Volume 01,A Strange Story - Volume 01
7786, The One Great Reality,The One Great Reality
7799, An American Robinson Crusoe,An American Robinson Crusoe
7887, Fortitude,Fortitude
7922, American Historical and Literary Curiosities, Part 22.|Second Series,American Historical and Literary Curiosities, Part 22.
8092, Tremendous Trifles,Tremendous Trifles
8207, The Philosophy of the Plays of Shakspere Unfolded,The Philosophy of the Plays of Shakspere Unfolded
8381, Expositions of Holy Scripture: St. John Chaps. XV to XXI,Expositions of Holy Scripture: St. John Chaps. XV to XXI
840, Lorna Doone: A Romance of Exmoor,Lorna Doone: A Romance of Exmoor
8410, Jack of the Pony Express; Or, The Young Rider of the Mountain Trails,Jack of the Pony Express; Or, The Young Rider of the Mountain Trails
8419, The Journals of Lewis and Clark, 1804-1806,The Journals of Lewis and Clark, 1804-1806
8435, The Sturdy Oak|A composite Novel of American Politics by fourteen American authors,The Sturdy Oak
8551, The Seaboard Parish Volume 1,The Seaboard Parish Volume 1
8644, The Story of Ab: A Tale of the Time of the Cave Man,The Story of Ab: A Tale of the Time of the Cave Man
8647, Afloat and Ashore: A Sea Tale,Afloat and Ashore: A Sea Tale
8992, The Blockade Runners,The Blockade Runners
9048, Ballads, Founded on Anecdotes Relating to Animals,Ballads, Founded on Anecdotes Relating to Animals
9169, The Three Cities Trilogy: Paris, Complete,The Three Cities Trilogy: Paris, Complete
9220, The Threefold Destiny (From Twice Told Tales),The Threefold Destiny (From Twice Told Tales)
923, A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade,A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade
9314, The Calling of Dan Matthews,The Calling of Dan Matthews
9765, Alice, or the Mysteries - Book 03,Alice, or the Mysteries - Book 03
9958, Explorations in Australia|1.-Explorations in search of Dr. Leichardt and party. 2.-From Perth to Adelaide, around the great Australian bight. 3.-From Champion Bay, across the desert to the telegraph and to Adelaide. With an appendix on the condition of Western Australia.,Explorations in Australia
bookID, title,title
10052, The Open Door, and the Portrait.|Stories of the Seen and the Unseen.,The Open Door, and the Portrait.
10076, Lister's Great Adventure,Lister's Great Adventure
10095, The Twilight of the Gods, and Other Tales,The Twilight of the Gods, and Other Tales
1023, Bleak House,Bleak House
10333, The European Anarchy,The European Anarchy
10418, The Money Moon: A Romance,The Money Moon: A Romance
10677, Biographical Memorials of James Oglethorpe|Founder of the Colony of Georgia, in North America.,Biographical Memorials of James Oglethorpe
10811, De La Salle Fifth Reader,De La Salle Fifth Reader
10886, The Untamed,The Untamed
10902, Big and Little Sisters: A Story of an Indian Mission School,Big and Little Sisters: A Story of an Indian Mission School
1109, Love's Labour's Lost,Love's Labour's Lost
11119, Personal Memoirs of a Residence of Thirty Years with the Indian Tribes on the American Frontiers,Personal Memoirs of a Residence of Thirty Years with the Indian Tribes on the American Frontiers
1125, All's Well That Ends Well,All's Well That Ends Well
11377, The Man Whom the Trees Loved,The Man Whom the Trees Loved
11485, Slave Narratives: a Folk History of Slavery in the United States|From Interviews with Former Slaves|Kansas Narratives,Slave Narratives: a Folk History of Slavery in the United States
11618, From Chaucer to Tennyson|With Twenty-Nine Portraits and Selections from Thirty Authors,From Chaucer to Tennyson
11655, Fate Knocks at the Door: A Novel,Fate Knocks at the Door: A Novel
11675, Vanishing Roads and Other Essays,Vanishing Roads and Other Essays
11686, Without Dogma: A Novel of Modern Poland,Without Dogma: A Novel of Modern Poland
12031, Collected Poems 1901-1918 in Two Volumes|Volume I.,Collected Poems 1901-1918 in Two Volumes
12157, The Unknown|Night Watches, Part 7.,The Unknown
12206, Breaking a Spell|Odd Craft, Part 6.,Breaking a Spell
12234, Mr. Scarborough's Family,Mr. Scarborough's Family
12282, The Right and Wrong Uses of the Bible,The Right and Wrong Uses of the Bible
12482, The Mettle of the Pasture,The Mettle of the Pasture
12484, The Knave of Diamonds,The Knave of Diamonds
12559, The Automobile Girls at Washington; Or, Checkmating the Plots of Foreign Spies,The Automobile Girls at Washington; Or, Checkmating the Plots of Foreign Spies
12621, The Book of Dreams and Ghosts,The Book of Dreams and Ghosts
12772, Cowper,Cowper
12843, Poems|Household Edition,Poems
1303, The Scapegoat,The Scapegoat
13085, A Diversity of Creatures,A Diversity of Creatures
13143, Mystic Christianity; Or, The Inner Teachings of the Master,Mystic Christianity; Or, The Inner Teachings of the Master
13168, Dick in the Everglades,Dick in the Everglades
1324, Russia in 1919,Russia in 1919
13407, A Series of Lessons in Gnani Yoga: The Yoga of Wisdom,A Series of Lessons in Gnani Yoga: The Yoga of Wisdom
13496, The White Morning: A Novel of the Power of the German Women in Wartime,The White Morning: A Novel of the Power of the German Women in Wartime
13548, Cambridge Essays on Education,Cambridge Essays on Education
13567, Clementina,Clementina
13604, Thrilling Stories Of The Ocean|From Authentic Accounts Of Modern Voyagers And Travellers; Designed|For The Entertainment And Instruction Of Young People,Thrilling Stories Of The Ocean
13645, The Tatler, Volume 1,The Tatler, Volume 1
137, Sara Crewe; Or, What Happened at Miss Minchin's Boarding School,Sara Crewe; Or, What Happened at Miss Minchin's Boarding School
13789, Great Britain and the American Civil War,Great Britain and the American Civil War
13933, In Old Kentucky,In Old Kentucky
13960, Charles Rex,Charles Rex
13970, Nick of the Woods; Or, Adventures of Prairie Life,Nick of the Woods; Or, Adventures of Prairie Life
1402, Where the Blue Begins,Where the Blue Begins
14054, Max,Max
14110, Kernel Cob And Little Miss Sweetclover,Kernel Cob And Little Miss Sweetclover
1414, Somebody's Luggage,Somebody's Luggage
14149, The Pilots of Pomona: A Story of the Orkney Islands,The Pilots of Pomona: A Story of the Orkney Islands
14209, The Kybalion|A Study of The Hermetic Philosophy of Ancient Egypt and Greece,The Kybalion
14226, Lobo, Rag and Vixen|Being The Personal Histories Of Lobo, Redruff, Raggylug & Vixen,Lobo, Rag and Vixen
14257, The Magician,The Magician
14293, The Complete Book of Cheese,The Complete Book of Cheese
1445, Aeroplanes,Aeroplanes
14526, The Little City of Hope: A Christmas Story,The Little City of Hope: A Christmas Story
14595, The Soldier Boy; or, Tom Somers in the Army: A Story of the Great Rebellion,The Soldier Boy; or, Tom Somers in the Army: A Story of the Great Rebellion
14625, Military Instructors Manual,Military Instructors Manual
14714, Half Portions,Half Portions
14863, The Tinder-Box,The Tinder-Box
1487, The Perfect Wagnerite: A Commentary on the Niblung's Ring,The Perfect Wagnerite: A Commentary on the Niblung's Ring
14957, The Brimming Cup,The Brimming Cup
14969, Three Contributions to the Theory of Sex,Three Contributions to the Theory of Sex
15167, London River,London River
15221, A New Conscience and an Ancient Evil,A New Conscience and an Ancient Evil
15321, Tracy Park: A Novel,Tracy Park: A Novel
1535, The Tragedy of Coriolanus,The Tragedy of Coriolanus
15407, The Cyder-Maker's Instructor, Sweet-Maker's Assistant, and Victualler's and Housekeeper's Director|In Three Parts,The Cyder-Maker's Instructor, Sweet-Maker's Assistant, and Victualler's and Housekeeper's Director
15524, Digger Smith,Digger Smith
15750, Pee-Wee Harris on the Trail,Pee-Wee Harris on the Trail
15763, Count Hannibal: A Romance of the Court of France,Count Hannibal: A Romance of the Court of France
15772, Machiavelli, Volume I,Machiavelli, Volume I
15858, The Social Emergency: Studies in Sex Hygiene and Morals,The Social Emergency: Studies in Sex Hygiene and Morals
15899, Susan Clegg and Her Friend Mrs. Lathrop,Susan Clegg and Her Friend Mrs. Lathrop
16058, Occult Chemistry: Clairvoyant Observations on the Chemical Elements,Occult Chemistry: Clairvoyant Observations on the Chemical Elements
16078, The Amateur Army,The Amateur Army
16095, The Northern Light,The Northern Light
16161, The Seven Great Monarchies Of The Ancient Eastern World, Vol 1: Chaldaea|The History, Geography, And Antiquities Of Chaldaea, Assyria, Babylon, Media, Persia, Parthia, And Sassanian or New Persian Empire; With Maps and Illustrations.,The Seven Great Monarchies Of The Ancient Eastern World, Vol 1: Chaldaea
16419, The Olden Time Series, Vol. 5: Some Strange and Curious Punishments|Gleanings Chiefly from Old Newspapers of Boston and Salem, Massachusetts,The Olden Time Series, Vol. 5: Some Strange and Curious Punishments
16456, The Works of John Dryden, now first collected in eighteen volumes. Volume 06,The Works of John Dryden, now first collected in eighteen volumes. Volume 06
16511, Chronicles (1 of 6): The Historie of England (3 of 8),Chronicles (1 of 6): The Historie of England (3 of 8)
16616, The Nuts of Knowledge: Lyrical Poems Old and New,The Nuts of Knowledge: Lyrical Poems Old and New
16706, A Sixth-Century Fragment of the Letters of Pliny the Younger|A Study of Six Leaves of an Uncial Manuscript Preserved|in the Pierpont Morgan Library New York,A Sixth-Century Fragment of the Letters of Pliny the Younger
16868, Adventures of a Despatch Rider,Adventures of a Despatch Rider
16927, Tacitus: The Histories, Volumes I and II,Tacitus: The Histories, Volumes I and II
16962, Historical Epochs of the French Revolution|With The Judgment And Execution Of Louis XVI., King Of France|And A List Of The Members Of The National Convention, Who Voted For And Against His Death,Historical Epochs of the French Revolution
1713, Lincoln; An Account of his Personal Life, Especially of its Springs of Action as Revealed and Deepened by the Ordeal of War,Lincoln; An Account of his Personal Life, Especially of its Springs of Action as Revealed and Deepened by the Ordeal of War
17149, Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries,Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries
17349, Frank among the Rancheros,Frank among the Rancheros
17357, The Quickening,The Quickening
17364, Types of Weltschmerz in German Poetry,Types of Weltschmerz in German Poetry
17437, Health and Education,Health and Education
17475, The Lobster Fishery of Maine|Bulletin of the United States Fish Commission, Vol. 19, Pages 241-265, 1899,The Lobster Fishery of Maine
17571, Piano Tuning: A Simple and Accurate Method for Amateurs,Piano Tuning: A Simple and Accurate Method for Amateurs
178, Confidence,Confidence
1787, Hamlet,Hamlet
17939, A Statement: On the Future of This Church,A Statement: On the Future of This Church
18116, The Freebooters of the Wilderness,The Freebooters of the Wilderness
18137, Little Fuzzy,Little Fuzzy
18388, Robert Burns: How To Know Him,Robert Burns: How To Know Him
18495, The Drama of the Forests: Romance and Adventure,The Drama of the Forests: Romance and Adventure
18560, Chopin and Other Musical Essays,Chopin and Other Musical Essays
18646, Gypsy's Cousin Joy,Gypsy's Cousin Joy
18786, Treachery in Outer Space,Treachery in Outer Space
18832, A Cardinal Sin,A Cardinal Sin
19190, Men Called Him Master,Men Called Him Master
19389, Child Songs of Cheer,Child Songs of Cheer
19390, Baby Pitcher's Trials|Little Pitcher Stories,Baby Pitcher's Trials
1943, Louis Lambert,Louis Lambert
19849, Flag and Fleet: How the British Navy Won the Freedom of the Seas,Flag and Fleet: How the British Navy Won the Freedom of the Seas
19859, A Flat Iron for a Farthing; or, Some Passages in the Life of an only Son,A Flat Iron for a Farthing; or, Some Passages in the Life of an only Son
19926, Standard Selections|A Collection and Adaptation of Superior Productions from Best Authors for Use in Class Room and on the Platform,Standard Selections
1993, Told After Supper,Told After Supper
19988, Little Maid Marian,Little Maid Marian
19993, Childhood's Favorites and Fairy Stories|The Young Folks Treasury, Volume 1,Childhood's Favorites and Fairy Stories
20044, Riders of the Silences,Riders of the Silences
20150, Notes on My Books,Notes on My Books
20177, John Bull; Or, The Englishman's Fireside: A Comedy, in Five Acts,John Bull; Or, The Englishman's Fireside: A Comedy, in Five Acts
20301, A Museum for Young Gentlemen and Ladies|Or, a Private Tutor for Little Masters and Misses,A Museum for Young Gentlemen and Ladies
20320, Jack Harkaway's Boy Tinker Among The Turks|Book Number Fifteen in the Jack Harkaway Series,Jack Harkaway's Boy Tinker Among The Turks
20484, Real Life In London, Volumes I. and II.|Or, The Rambles and Adventures of Bob Tallyho, Esq., and His Cousin, the Hon. Tom Dashall, Through the Metropolis; Exhibiting a Living Picture of Fashionable Characters, Manners, and Amusements in High and Low Life (1821),Real Life In London, Volumes I. and II.
20699, Dotty Dimple at Her Grandmother's,Dotty Dimple at Her Grandmother's
20716, The Tale of Timothy Turtle,The Tale of Timothy Turtle
20834, Ruth Fielding at the War Front; or, The Hunt for the Lost Soldier,Ruth Fielding at the War Front; or, The Hunt for the Lost Soldier
20877, Mother West Wind's Children,Mother West Wind's Children
20920, Morale: A Story of the War of 1941-43,Morale: A Story of the War of 1941-43
20961, The Masques of Ottawa,The Masques of Ottawa
20986, Tom Slade with the Colors,Tom Slade with the Colors
21107, On Board the Esmeralda|Martin Leigh's Log - A Sea Story,On Board the Esmeralda
21131, Amos Huntingdon,Amos Huntingdon
2116, History of Friedrich II of Prussia - Volume 16,History of Friedrich II of Prussia - Volume 16
21279, 2 B R 0 2 B,2 B R 0 2 B
21303, Devon Boys: A Tale of the North Shore,Devon Boys: A Tale of the North Shore
21488, Saved from the Sea; Or, The Loss of the Viper, and her Crew's Saharan Adventures,Saved from the Sea; Or, The Loss of the Viper, and her Crew's Saharan Adventures
