authorID,fullName
a065,"Henry, Peterson"
a066,"Howard, Pyle"
a067,"Louis, Zangwill"
a068,"Robert Green, Ingersoll"
a069,"Lewis, Parker"
a07,"R. M. (Robert Michael), Ballantyne"
a070,"F. A. (Frank Algernon), Stewart"
a071,"George Manville, Fenn"
a072,"Charles, Sainte-Foi"
a073,"R. Hugh (Reginald Hugh), Knyvett"
a074,"Alice C. (Alice Cunningham), Fletcher"
a075,"Georg, Ebers"
a076,"Clara, Bell"
a077,"Sophia, Reeve"
a078,"Zane, Grey"
a079,"Charlotte M. (Charlotte Mary), Yonge"
a08,"Charles James, Lever"
a080,"H. A. (Hiram Alfred), Cody"
a081,"W. P. (William Paton), Ker"
a082,"Corbyn, Morris"
a083,"James L. (James Lowry), Clifford"
a084,"David, Widger"
a085,"Mark, Twain"
a086,"Andrew, Lang"
a087,"C. H. W. (Claude Hermann Walter), Johns"
a088,"François, Coppée"
a089,"Clara Louise, Burnham"
a09,"Edward J., Wheeler"
a090,"Warren, Proctor"
a091,"John H., Humphreys"
a092,"Francis Wrigley, Hirst"
a093,"Compton, MacKenzie"
a094,"Thomas D'Arcy, McGee"
a095,"G. R. (George Rockwell), Putnam"
a096,"G. P. R. (George Payne Rainsford), James"
a097,"Robert Sterling, Yard"
a098,"Oliver, Optic"
a099,"Frederick, Sessions"
b5001,"Amelia, Opie"
b50010,"R. Osgood (Rufus Osgood), Mason"
b500101,"Hammatt, Billings"
b500102,"Charles, Dickens"
b500103,"Frank, Fowler"
b500104,"Mary Carolyn, Davies"
b500105,"Harold James, Cue"
b500106,"Henry Edward, Krehbiel"
b500107,"Alexander Wheelock, Thayer"
b500108,"F. C. (Francis Cowley), Burnand"
b500109,"Anthony, Trollope"
b50011,"Charles Henry, Cunningham"
b500110,"Clair W. (Clair Wallace), Hayes"
b500111,"G. E. (Geraldine Edith), Mitton"
b500112,"R. H. (Robert Henry), Newell"
b500113,"Guy, Boothby"
b500115,"Ridgwell, Cullum"
b500117,"Alec, Waugh"
b500118,"Francis Hopkinson, Smith"
b500119,"William Angus, Knight"
b50012,"Clara, Bell"
b500120,"William, Wordsworth"
b500121,"William, Black"
b500123,"Marcus, Dods"
