authorID,fullName,firstName,surName,title
a0318, Skinner, Charles M. (Charles Montgomery), Charles M. (Charles Montgomery), Skinner, 
a0319, Lee, William M., William M., Lee, 
a032, Hervey, Arthur, Arthur, Hervey, 
a0320, Lisle, Lionel, Lionel, Lisle, 
a0321, Rae, John, John, Rae, 
a0322, Barr, Robert, Robert, Barr, 
a0323, O'Keeffe, John, John, O'Keeffe, 
a0324, Inchbald, Mrs., Mrs., Inchbald, 
a0325, Lebert, Marie, Marie, Lebert, 
a0326, Royle, Edwin Milton, Edwin Milton, Royle, 
a0327, Bishop, Julia Truitt, Julia Truitt, Bishop, 
a0328, Bailey, Arthur Scott, Arthur Scott, Bailey, 
a0329, Smith, Harry L., Harry L., Smith, 
a033, Steel, Flora Annie Webster, Flora Annie Webster, Steel, 
a0330, Leigh, Oliver Herbrand Gordon, Oliver Herbrand Gordon, Leigh, 
a0331, Morris, Charles, Charles, Morris, 
a0332, Chittenden, L. E. (Lucius Eugene), L. E. (Lucius Eugene), Chittenden, 
a0333, Gilson, Charles, Charles, Gilson, 
a0334, Woodville, Richard Caton, Richard Caton, Woodville, 
a0335, Weaver, Louise Bennett, Louise Bennett, Weaver, 
a0336, LeCron, Helen Cowles, Helen Cowles, LeCron, 
a0337, Colbourne, Elizabeth, Elizabeth, Colbourne, 
a0338, Russell, William Clark, William Clark, Russell, 
a0339, Parkinson, James, James, Parkinson, 
a034, Temple, Richard Carnac, Sir, Richard Carnac, Temple, Sir
a0340, Mays, D. L., D. L., Mays, 
a0341, Collingwood, Harry, Harry, Collingwood, 
a0342, Munro, William Bennett, William Bennett, Munro, 
a0343, Johnson, Allen, Allen, Johnson, 
a0344, Welsh, Charles, Charles, Welsh, 
a0345, Butz, C. A., C. A., Butz, 
a0346, Lynde, Francis, Francis, Lynde, 
a0347, Winks, W. E. (William Edward), W. E. (William Edward), Winks, 
a0348, Curtis, William, William, Curtis, 
a0349, Chapman, Arthur, Arthur, Chapman, 
a035, Haggard, H. Rider (Henry Rider), H. Rider (Henry Rider), Haggard, 
a0350, Cruikshank, George, George, Cruikshank, 
a0351, Jerrold, Blanchard, Blanchard, Jerrold, 
a0352, Bindloss, Harold, Harold, Bindloss, 
a0353, Weeks, Lyman Horace, Lyman Horace, Weeks, 
a0354, Cheyne, T. K. (Thomas Kelly), T. K. (Thomas Kelly), Cheyne, 
a0355, Jacobs, W. W. (William Wymark), W. W. (William Wymark), Jacobs, 
a0356, Sudermann, Hermann, Hermann, Sudermann, 
a0357, Henkel, Lily, Lily, Henkel, 
a0358, Lee, Elizabeth, Elizabeth, Lee, 
a0359, Anderton, Thomas, Thomas, Anderton, 
a036, Barth, Ernie, Ernie, Barth, 
a0360, Clay, John Wood, John Wood, Clay, 
a0361, Dixon, Maynard, Maynard, Dixon, 
a0362, Mulford, Clarence Edward, Clarence Edward, Mulford, 
a0363, Strothmann, F. (Frederick), F. (Frederick), Strothmann, 
a0364, Graham, Harry, Harry, Graham, 
a0365, Fox, William Fayette, William Fayette, Fox, 
a0366, Duncan, Sara Jeannette, Sara Jeannette, Duncan, 
a0367, Brown, Abbie Farwell, Abbie Farwell, Brown, 
a0368, Purdom, Tom, Tom, Purdom, 
a0369, Lincoln, Joseph Crosby, Joseph Crosby, Lincoln, 
a037, Colvin, Donald, Donald, Colvin, 
a0370, Riou, Edouard, Edouard, Riou, 
a0371, Verne, Jules, Jules, Verne, 
a0372, Scott, Walter, Walter, Scott, 
a0373, Yarrow, H. C. (Harry Crécy), H. C. (Harry Crécy), Yarrow, 
a0374, Ratcliffe, S. K. (Samuel Kerkham), S. K. (Samuel Kerkham), Ratcliffe, 
a0375, Tomlinson, H. M. (Henry Major), H. M. (Henry Major), Tomlinson, 
a0376, Barlow, R. H. (Robert Hayward), R. H. (Robert Hayward), Barlow, 
a0377, Carey, Rosa Nouchette, Rosa Nouchette, Carey, 
a0378, Austin, Mary Hunter, Mary Hunter, Austin, 
a0379, Newnham-Davis, Lieut.-Col. (Nathaniel), Lieut.-Col. (Nathaniel), Newnham-Davis, 
a038, Braddon, M. E. (Mary Elizabeth), M. E. (Mary Elizabeth), Braddon, 
a0380, Bastard, Algernon, Algernon, Bastard, 
a0381, Nichols, J. L. (James Lawrence), J. L. (James Lawrence), Nichols, 
a0382, Jefferis, B. G. (Benjamin Grant), B. G. (Benjamin Grant), Jefferis, 
a0383, Freeman, Mary Eleanor Wilkins, Mary Eleanor Wilkins, Freeman, 
a0384, Meade, L. T., L. T., Meade, 
a0385, Williamson, J., J., Williamson, 
a0386, Bennett, Arnold, Arnold, Bennett, 
a0387, Ritter, Bob, Bob, Ritter, 
a0388, Slesar, Henry, Henry, Slesar, 
a0389, Prus, Bolesław, Bolesław, Prus, 
a039, Roberts, Morley, Morley, Roberts, 
a0390, Tolstaia, S. A. (Sofia Andreevna), S. A. (Sofia Andreevna), Tolstaia, 
a0391, Koteliansky, S. S. (Samuel Solomonovitch), S. S. (Samuel Solomonovitch), Koteliansky, 
a0392, Woolf, Leonard, Leonard, Woolf, 
a0393, Spiridonov, V. S. (Vasilii Spiridonovich), V. S. (Vasilii Spiridonovich), Spiridonov, 
a0394, Hawthorne, Julian, Julian, Hawthorne, 
a0395, Whymper, Edward, Edward, Whymper, 
a0396, Martineau, Harriet, Harriet, Martineau, 
a0397, Granville-Barker, Harley, Harley, Granville-Barker, 
a0398, Parker, Gilbert, Gilbert, Parker, 
a0399, Moffett, Cleveland, Cleveland, Moffett, 
a04, Stevenson, Robert Louis, Robert Louis, Stevenson, 
a040, Brown, Arthur William, Arthur William, Brown, 
a0400, Morrison, Gertrude W., Gertrude W., Morrison, 
a0401, Lockwood, Frank, Sir, Frank, Lockwood, Sir
a0402, Strunk, William, William, Strunk, 
a0403, J. L. B., J., L. B., 
a0404, Cholmondeley, Mary, Mary, Cholmondeley, 
a0405, Hall, Tom, Tom, Hall, 
a0406, Schirmacher, K\xe4the, K\xe4the, Schirmacher, 
a0407, Eckhardt, Carl Conrad, Carl Conrad, Eckhardt, 
a0408, Mann, D. D. (David Dickinson), D. D. (David Dickinson), Mann, 
a0409, Wemyss, Mary C. E., Mary C. E., Wemyss, 
a041, Southgate, Frank, Frank, Southgate, 
a0410, Wormeley, Katharine Prescott, Katharine Prescott, Wormeley, 
a0411, Francis H. Leggett & Co., Francis, H. Leggett & Co., 
a0412, Prindle, Frances Carruth, Frances Carruth, Prindle, 
a0413, Green, Anna Katharine, Anna Katharine, Green, 
a0414, Milman, Arthur, Arthur, Milman, 
a0415, Kohn, S. (Salomon), S. (Salomon), Kohn, 
a0416, Dillon, Diane, Diane, Dillon, 
a0417, Dillon, Leo, Leo, Dillon, 
a0418, Stuart, William W., William W., Stuart, 
a0419, Douglas, Amanda M., Amanda M., Douglas, 
a042, Vincent, James Edmund, James Edmund, Vincent, 
a0420, Leyendecker, Frank X., Frank X., Leyendecker, 
a0421, Crawford, Will, Will, Crawford, 
a0422, Brady, Cyrus Townsend, Cyrus Townsend, Brady, 
a0423, Glackens, William J., William J., Glackens, 
a0424, Christy, Howard Chandler, Howard Chandler, Christy, 
a0425, Chambers, Robert, Robert, Chambers, 
a0426, Chambers, William, William, Chambers, 
a0427, Burd, C. M. (Clara Miller), C. M. (Clara Miller), Burd, 
a0428, Bailey, Carolyn Sherwin, Carolyn Sherwin, Bailey, 
a0429, McAllister, A. (Alvan), A. (Alvan), McAllister, 
a043, Gould, Elizabeth Porter, Elizabeth Porter, Gould, 
a0430, Stuart, Moses, Moses, Stuart, 
a0431, Meem, J. C., J. C., Meem, 
a0432, Sweetser, Kate Dickinson, Kate Dickinson, Sweetser, 
a0433, Brill, Ethel C. (Ethel Claire), Ethel C. (Ethel Claire), Brill, 
a0434, Wolf, W. H., W. H., Wolf, 
a0435, Campbell, John W., Jr. (John Wood), John W., Campbell, Jr. (John Wood)
a0436, Estébanez Calderón, Serafín, Serafín, Estébanez Calderón, 
a0437, Alarcón, Pedro Antonio de, Pedro Antonio de, Alarcón, 
a0438, Palacio Valdés, Armando, Armando, Palacio Valdés, 
a0439, Pardo Bazán, Emilia, condesa de, Emilia, Pardo Bazán, condesa de
a044, Donnell, Annie Hamilton, Annie Hamilton, Donnell, 
a0440, Hartzenbusch, Juan Eugenio, Juan Eugenio, Hartzenbusch, 
